"csv_fid","csv_pid","csv_alt","csv_mime","csv_filename","csv_filepath","csv_status","csv_title","csv_date","csv_caption","csv_date_y","csv_date_m"
"3142","275","","image/png","mba-ebook_cvr-web.png","public://cta/mba-ebook_cvr-web.png","Permanent","","1538506642","","2018","10"
"17469","276","","image/png","magspr2020-homepagegraphic-rev.png","public://cta/magspr2020-homepagegraphic-rev.png","Permanent","","1589374589","","2020","05"
"1721","277","","image/jpeg","14c10001-p3-012.jpg","public://cta/14c10001-p3-012.jpg","Permanent","","1535747473","","2018","08"
"1718","278","","image/jpeg","n18c10302-p58-017.jpg","public://cta/n18c10302-p58-017.jpg","Permanent","","1535747473","","2018","08"
"1717","279","","image/jpeg","sei_nano.jpg","public://cta/sei_nano.jpg","Permanent","","1535746915","","2018","08"
"3141","280","","image/jpeg","online_learning.jpg","public://cta/online_learning.jpg","Permanent","","1538504525","","2018","10"
"1731","437","","image/jpeg","16c5431-p2-057.jpg","public://cta/16c5431-p2-057.jpg","Permanent","","1536086109","","2018","09"
"1732","438","","image/jpeg","0424001-p1-33.jpg","public://cta/0424001-p1-33.jpg","Permanent","","1536086109","","2018","09"
"15684","442","","image/jpeg","n19c10302-p10-002.jpg","public://cta/n19c10302-p10-002.jpg","Permanent","","1539971559","","2018","10"
"1735","443","","image/jpeg","n18c10302-p27-014-1.jpg","public://cta/n18c10302-p27-014-1.jpg","Permanent","","1536086380","","2018","09"
"1738","462","","image/jpeg","martinw3.jpg","public://cta/martinw3.jpg","Permanent","","1536087869","","2018","09"
"1739","463","","image/jpeg","tech_tower_new_letters_2.jpg","public://cta/tech_tower_new_letters_2.jpg","Permanent","","1536087869","","2018","09"
"3063","510","","image/jpeg","15c10400-p19-024.jpg","public://cta/15c10400-p19-024.jpg","Permanent","","1536606885","","2018","09"
"3159","513","","image/jpeg","n18c10302-p67-001.jpg","public://cta/n18c10302-p67-001.jpg","Permanent","","1538594698","","2018","10"
"3160","514","","image/jpeg","17c1001-p7-029.jpg","public://cta/17c1001-p7-029.jpg","Permanent","","1538595348","","2018","10"
"3138","592","","image/jpeg","grad_lab.jpg","public://cta/grad_lab.jpg","Permanent","","1538503384","","2018","10"
"3143","629","","image/png","podcast_cvr-web.png","public://cta/podcast_cvr-web.png","Permanent","","1538506642","","2018","10"
"3147","643","","image/jpeg","15c10402-p52-042.jpg","public://cta/15c10402-p52-042.jpg","Permanent","","1538571837","","2018","10"
"3148","645","","image/jpeg","18c10200-p4-003.jpg","public://cta/18c10200-p4-003.jpg","Permanent","","1538572541","","2018","10"
