"csv_fid","csv_pid","csv_caption","csv_mime","csv_filename","csv_filepath","csv_status","csv_date","csv_date_y","csv_year_m"
"1648","111","Unidentified persons reaching hands through dividers to grasp hands of graduates as they walk in for graduation, courtesy of Georgia Tech.","image/png","2017_graduate_walk.png","public://uploads/2018/02/2017_graduate_walk.png","Permanent","1518812577","2018","02"
"1654","155","Three students listening in a lecture hall.","image/jpeg","15c3120-p1-055.jpg","public://uploads/2018/03/15c3120-p1-055.jpg","Permanent","1520265036","2018","03"
"1655","156","A student reaching to a child during graduation ceremonies.","image/jpeg","38368031684_a397b3d20d_k.jpg","public://uploads/2018/03/38368031684_a397b3d20d_k.jpg","Permanent","1520265778","2018","03"
"15708","157","Engineering student in Switzerland","image/jpeg","messina_cole.culture.switzerland.jpg","public://uploads/2018/11/messina_cole.culture.switzerland.jpg","Permanent","1542295720","2018","11"
"1657","159","CEED staff members showcasing their new shirts.","image/jpeg","4y4a3031.jpg","public://uploads/2018/03/4y4a3031.jpg","Permanent","1520270480","2018","03"
"1658","163","CEED staff members.","image/jpeg","4y4a3031.jpg","public://uploads/2018/03/4y4a3031_0.jpg","Permanent","1520270717","2018","03"
"1659","165","Annually, our programs impact over 3,000 potential GT students as well as over 36% of the College of Engineering student enrollment (undergraduate and graduate). Our reach extends to students across the institute, enabling us to have an impact on over 40% of all Georgia Tech students.","image/jpeg","sei_nano.jpg","public://uploads/2018/03/sei_nano.jpg","Permanent","1520270928","2018","03"
"18183","177","","image/jpeg","beyah341_cropped_web.jpg","public://uploads/2021/02/beyah341_cropped_web.jpg","Permanent","1612366540","2021","02"
"1663","192","Tech Tower from above.","image/jpeg","08c1004-p4-066.jpg","public://uploads/2018/08/08c1004-p4-066.jpg","Permanent","1534171502","2018","08"
"1664","193","Drawing of Tech Tower.","image/jpeg","09c2003-p3-003.jpg","public://uploads/2018/08/09c2003-p3-003.jpg","Permanent","1534171502","2018","08"
"3120","196","SURE students touring the Georgia Tech Research Institute (GTRI).","image/png","sure-gtri_tour_photo.png","public://uploads/2018/09/sure-gtri_tour_photo.png","Permanent","1537298986","2018","09"
"3144","205","Women in Engineering empowers females in the STEM fields. ","image/jpeg","wie.jpg","public://uploads/2018/10/wie.jpg","Permanent","1538507035","2018","10"
"1669","213","Tech Tower at dusk.","image/jpeg","0442358-p9-7.jpg","public://uploads/2018/08/0442358-p9-7.jpg","Permanent","1534182314","2018","08"
"1670","246","Students work just inside the Invention Studio.","image/jpeg","14c10001-p3-002.jpg","public://uploads/2018/08/14c10001-p3-002.jpg","Permanent","1534183672","2018","08"
"16648","250","","image/png","capture.png","public://uploads/2019/08/capture.png","Permanent","1565284664","2019","08"
"1672","258","Students participating in a team-building activity.","image/jpeg","18c8402-p1-081.jpg","public://uploads/2018/08/18c8402-p1-081.jpg","Permanent","1534878964","2018","08"
"1674","270","Students working on school work outside.","image/jpeg","n18c10302-p88-005.jpg","public://uploads/2018/08/n18c10302-p88-005.jpg","Permanent","1534879602","2018","08"
"1685","292","Professor Brian Gunter showed visiting officials the Daniel Guggenheim School of Aerospace Engineering building and Gunter's lab.","image/jpeg","n18c10200-p35007.jpg","public://uploads/2018/08/n18c10200-p35007_0.jpg","Permanent","1535739600","2018","08"
"1686","293","Located on the ground floor of the Daniel Guggenheim School of Aerospace Engineering building, the low-speed wind tunnel is a state-of-the-art facility for experimental research.","image/jpeg","17c10303-p4-004.jpg","public://uploads/2018/08/17c10303-p4-004.jpg","Permanent","1535739600","2018","08"
"1687","295","A student inspects the low-speed wind tunnel, a state-of-the-art facility for experimental research.","image/jpeg","17c10303-p4-001.jpg","public://uploads/2018/08/17c10303-p4-001.jpg","Permanent","1535740536","2018","08"
"1688","301","Samples being observed under a microscope.","image/jpeg","17c10201-p25-001.jpg","public://uploads/2018/08/17c10201-p25-001.jpg","Permanent","1535741749","2018","08"
"1689","302","Faculty and staff work alongside each other in lab and office space.","image/jpeg","16c10202-p10-003.jpg","public://uploads/2018/08/16c10202-p10-003.jpg","Permanent","1535741749","2018","08"
"1690","303","Intubation device concept.","image/jpeg","15c10400-p18-001.jpg","public://uploads/2018/08/15c10400-p18-001.jpg","Permanent","1535741749","2018","08"
"1694","310","A look into the work-in-progress at Chris Jones's lab.","image/jpeg","15c10202-p2-005.jpg","public://uploads/2018/08/15c10202-p2-005.jpg","Permanent","1535742423","2018","08"
"1695","311","A sample from Mark Styczynski's lab.","image/jpeg","16c10200-p2-005.jpg","public://uploads/2018/08/16c10200-p2-005.jpg","Permanent","1535742423","2018","08"
"1693","312","Felix Thouin is a researcher at Georgia Tech that studies lasers.","image/jpeg","n18c10200-p18-008.jpg","public://uploads/2018/08/n18c10200-p18-008.jpg","Permanent","1535742423","2018","08"
"1696","319","Georgia Tech researchers have developed the Ground Robot for Mapping Infrastructure (GRoMI), which uses a hybrid thermal laser scanning system. GRoMI is a project of the Robotics and Intelligent Construction Automation Laboratory in the School of Civil and Environmental Engineering.","image/jpeg","17c10202-p7-001.jpg","public://uploads/2018/08/17c10202-p7-001.jpg","Permanent","1535743289","2018","08"
"1697","320","Glaucio Paulino (left) and Evgueni Filipov (right) using printable origami.","image/jpeg","16c10200-p10-007.jpg","public://uploads/2018/08/16c10200-p10-007.jpg","Permanent","1535743289","2018","08"
"1698","321","Glaucio Paulino looking through his designed structures.","image/jpeg","16c10200-p18-004.jpg","public://uploads/2018/08/16c10200-p18-004.jpg","Permanent","1535743289","2018","08"
"1701","328","Raheem Beyah and Celine Irvene's robot.","image/jpeg","18c10202-p9-003.jpg","public://uploads/2018/08/18c10202-p9-003.jpg","Permanent","1535743851","2018","08"
"1702","329","Alenka Zajic.","image/jpeg","18c10202-p10-001.jpg","public://uploads/2018/08/18c10202-p10-001.jpg","Permanent","1535743851","2018","08"
"1703","330","Delicate instruments at work in an ECE lab. ","image/jpeg","18c10200-p10-005.jpg","public://uploads/2018/08/18c10200-p10-005.jpg","Permanent","1535743851","2018","08"
"1704","337","Shown in a Delta maintenance facility are Todd Herrington, general manager of fleet projects at the company, and Chuck Zhang, a professor in Georgia Tech's Stewart School of Industrial and Systems Engineering.","image/jpeg","17c10202-p2-002.jpg","public://uploads/2018/08/17c10202-p2-002.jpg","Permanent","1535744218","2018","08"
"1705","338","Valerie Thomas at the Georgia Tech electrical substation on Northside Drive","image/jpeg","16c10206-p12-010.jpg","public://uploads/2018/08/16c10206-p12-010.jpg","Permanent","1535744218","2018","08"
"1706","339","Ben Wang, executive director of the Georgia Tech Manufacturing Institute (GTMI) and the Eugene C. Gwaltney Jr. Chair in Manufacturing Systems for the H. Milton Stewart School of Industrial and Systems Engineering.","image/jpeg","17c10202-p4-002.jpg","public://uploads/2018/08/17c10202-p4-002.jpg","Permanent","1535744218","2018","08"
"1711","347","Devin Brown displays an item found in the Marcus Nanotechnology Clean Room.","image/jpeg","n18c10302-p49-a087.jpg","public://uploads/2018/08/n18c10302-p49-a087.jpg","Permanent","1535744739","2018","08"
"1710","348","Charlie Kuehmann of Telsa visits GT Motorsports.","image/jpeg","18c10302-p9-009.jpg","public://uploads/2018/08/18c10302-p9-009.jpg","Permanent","1535744739","2018","08"
"1709","349","Marcus Nanotechnology Clean Room.","image/jpeg","n18c10302-p49-018.jpg","public://uploads/2018/08/n18c10302-p49-018.jpg","Permanent","1535744739","2018","08"
"1714","355","Hong Yeo in the Petite Building with a retainer that can sense a wearer's salt intake.","image/jpeg","18c10200-p27-004.jpg","public://uploads/2018/08/18c10200-p27-004.jpg","Permanent","1535745145","2018","08"
"1716","356","Jerry Qi printed self-folding oragami project.","image/jpeg","17c10201-p26-010.jpg","public://uploads/2018/08/17c10201-p26-010_0.jpg","Permanent","1535745194","2018","08"
"1712","357","Jerry Qi and 3D printed objects that chnage when heated up.","image/jpeg","17c10201-p24-002.jpg","public://uploads/2018/08/17c10201-p24-002.jpg","Permanent","1535745145","2018","08"
"1723","362","Spring 2016 Commencement Morning Bachelor's Ceremony at McCamish Pavilion, where Steven J. Spiegel gave the reflection speech, Mary Rockett Brock gave the Commencement Address.","image/jpeg","16ne10510-p4-028.jpg","public://uploads/2018/09/16ne10510-p4-028.jpg","Permanent","1536019155","2018","09"
"7296","370","The College offers cutting-edge research centers and labs, as students pursue their graduate studies. ","image/jpeg","grad_lab2.jpg","public://uploads/2018/10/grad_lab2.jpg","Permanent","1538683802","2018","10"
"1725","376","Dan Cornforth and Carolyn Ibberson in IBB","image/jpeg","18c10200-p29-003.jpg","public://uploads/2018/09/18c10200-p29-003.jpg","Permanent","1536020266","2018","09"
