"csv_fid","csv_nid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"18761","43117","dean_beyah_and_president_cabrera002.jpg","public://news/featured/header/dean_beyah_and_president_cabrera002.jpg","image/jpeg","","","1628624283","2021","08"
"18775","43118","klempay-roy_header1.jpg","public://news/featured/header/klempay-roy_header1.jpg","image/jpeg","","","1628779442","2021","08"
"18737","43110","i-tlrbd6b-x2.jpg","public://news/featured/header/i-tlrbd6b-x2.jpg","image/jpeg","","","1627318343","2021","07"
"18701","43090","pia23131-1440x900.jpg","public://news/featured/header/pia23131-1440x900.jpg","image/jpeg","","","1625841428","2021","07"
"18681","43086","slothbot_wire.jpeg","public://news/featured/header/slothbot_wire.jpeg","image/jpeg","","","1625153612","2021","07"
"18671","43081","garcia2.jpg","public://news/featured/header/garcia2.jpg","image/jpeg","","","1624480822","2021","06"
"18666","43068","cancer-header_final.png","public://news/featured/header/cancer-header_final.png","image/png","","","1624456042","2021","06"
"18605","43059","andrew_schulz.jpg","public://news/featured/header/andrew_schulz.jpg","image/jpeg","","","1622584960","2021","06"
"18560","43036","walton_web-feat.png","public://news/featured/header/walton_web-feat_0.png","image/png","","","1620652720","2021","05"
"18534","43025","biya_hero3.jpg","public://news/featured/header/biya_hero3.jpg","image/jpeg","","","1619551447","2021","04"
"18522","43026","walker-nasa_hero1alt.jpg","public://news/featured/header/walker-nasa_hero1alt_0.jpg","image/jpeg","","","1619098387","2021","04"
"18496","43021","reframe-header2.jpg","public://news/featured/header/reframe-header2.jpg","image/jpeg","","","1618588812","2021","04"
"18488","43019","img_6759.jpg","public://news/featured/header/img_6759.jpg","image/jpeg","","","1618587025","2021","04"
"18480","43017","goldwaterscholars_web.jpg","public://news/featured/header/goldwaterscholars_web.jpg","image/jpeg","","","1618415101","2021","04"
"18468","43011","typewriter-stories_matter-by-suzy-hazelwood-pexels-o_002.jpg","public://news/featured/header/typewriter-stories_matter-by-suzy-hazelwood-pexels-o_002.jpg","image/jpeg","","","1617324531","2021","04"
"18461","43008","apr1_magnus3.jpg","public://news/featured/header/apr1_magnus3.jpg","image/jpeg","","","1617289183","2021","04"
"18414","43002","cobbcty_2.jpg","public://news/featured/header/cobbcty_2.jpg","image/jpeg","","","1616654541","2021","03"
"18447","42970","2022-grad-rankings.jpg","public://news/featured/header/2022-grad-rankings.jpg","image/jpeg","","","1617025148","2021","03"
"18440","43004","breaking_history-013_002.jpg","public://news/featured/header/breaking_history-013_002.jpg","image/jpeg","","","1616772281","2021","03"
"18419","42968","student-awards-women_2.jpg","public://news/featured/header/student-awards-women_2.jpg","image/jpeg","","","1616686473","2021","03"
"18408","42996","novid-header.jpg","public://news/featured/header/novid-header.jpg","image/jpeg","","","1616621426","2021","03"
"18355","42986","clark-lynn_header2.jpg","public://news/featured/header/clark-lynn_header2.jpg","image/jpeg","","","1615507787","2021","03"
"18339","42977","ae-fellowship_headeronly.jpg","public://news/featured/header/ae-fellowship_headeronly.jpg","image/jpeg","","","1614637400","2021","03"
"18311","42961","epic-header-2021_1200.jpg","public://news/featured/header/epic-header-2021_1200.jpg","image/jpeg","","","1614101469","2021","02"
"18291","42957","tuskegee_web1.jpg","public://news/featured/header/tuskegee_web1.jpg","image/jpeg","","","1613754901","2021","02"
"18263","42951","02_cruisestageseparation_10k.jpg","public://news/featured/header/02_cruisestageseparation_10k.jpg","image/jpeg","","","1613149481","2021","02"
"18255","42947","nae-hero_rev.jpg","public://news/featured/header/nae-hero_rev.jpg","image/jpeg","","","1612982082","2021","02"
"18193","42938","2021-hack-covid-19_gt_banner.png","public://news/featured/header/2021-hack-covid-19_gt_banner.png","image/png","","","1612458436","2021","02"
"18185","42936","emerald_hero_alt.jpg","public://news/featured/header/emerald_hero_alt.jpg","image/jpeg","","","1612382393","2021","02"
"18161","42925","walton_web-feat.png","public://news/featured/header/walton_web-feat.png","image/png","","","1611295650","2021","01"
"18158","42924","vaccine_web-social.jpg","public://news/featured/header/vaccine_web-social.jpg","image/jpeg","","","1611247492","2021","01"
"18105","42915","andres.jpg","public://news/featured/header/andres.jpg","image/jpeg","","","1610466660","2021","01"
"18131","42914","mlk-hero3.jpg","public://news/featured/header/mlk-hero3.jpg","image/jpeg","","","1610594395","2021","01"
"18094","42912","drone-racing_hero4a.jpg","public://news/featured/header/drone-racing_hero4a.jpg","image/jpeg","","","1610377699","2021","01"
"18089","42911","beyah_homepagehero.jpg","public://news/featured/header/beyah_homepagehero.jpg","image/jpeg","","","1609778182","2021","01"
"18052","42897","astronautvid-hero.jpg","public://news/featured/header/astronautvid-hero.jpg","image/jpeg","","","1607107440","2020","12"
"18069","42904","gtstratplan_logofinalwtag.jpg","public://news/featured/header/gtstratplan_logofinalwtag.jpg","image/jpeg","","","1608154559","2020","12"
"18068","42903","popefellows-headeronly.jpg","public://news/featured/header/popefellows-headeronly.jpg","image/jpeg","","","1608133607","2020","12"
"18047","42896","img_0400.jpg","public://news/featured/header/img_0400_8.jpg","image/jpeg","","","1606959482","2020","12"
"17996","42891","walking_on_tech_green.jpg","public://news/featured/header/walking_on_tech_green.jpg","image/jpeg","","","1606098267","2020","11"
"18010","42890","chiamaka_art-webrev.jpg","public://news/featured/header/chiamaka_art-webrev.jpg","image/jpeg","","","1606147221","2020","11"
"17984","42889","mag_industry_hero2_1.jpg","public://news/featured/header/mag_industry_hero2_1.jpg","image/jpeg","","","1605910780","2020","11"
"17971","42886","jorge6.jpg","public://news/featured/header/jorge6_0.jpg","image/jpeg","","","1605823019","2020","11"
"17960","42884","img_3515_002_1.jpg","public://news/featured/header/img_3515_002_1.jpg","image/jpeg","","","1605816034","2020","11"
