"csv_nid","csv_fid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"42418","15892","pic6.jpg","public://news/2018/pic6.jpg","image/jpeg","","","1543853436","2018","12"
"42405","15858","krish_lab_background_0.jpg","public://news/2018/krish_lab_background_0.jpg","image/jpeg","","","1542662750","2018","11"
"42406","15860","harris.jpg","public://news/2018/harris.jpg","image/jpeg","","","1542662750","2018","11"
"42408","15863","40615332785_37d6322a4c_o.jpg","public://news/2018/40615332785_37d6322a4c_o.jpg","image/jpeg","","","1542662750","2018","11"
"42408","15864","40628068305_6e89cc7d03_o.jpg","public://news/2018/40628068305_6e89cc7d03_o.jpg","image/jpeg","","","1542662750","2018","11"
"42408","15865","biodeliver.jpg","public://news/2018/biodeliver.jpg","image/jpeg","","","1542662750","2018","11"
"42411","15869","18c10200-p31-005_sm_0_0.jpg","public://news/2018/18c10200-p31-005_sm_0_0.jpg","image/jpeg","","","1542662750","2018","11"
"42415","15874","sam_coogan_1.jpg","public://news/2018/sam_coogan_1.jpg","image/jpeg","","","1542662750","2018","11"
"39529","13667","yancy_riddle_0_1.jpeg","public://news/2018/yancy_riddle_0_1.jpeg","image/jpeg","","","1539368592","2018","10"
"39530","13669","caving_1.jpg","public://news/2018/caving_1.jpg","image/jpeg","","","1539368592","2018","10"
"39546","13690","dasduo_1.jpg","public://news/2018/dasduo_1.jpg","image/jpeg","","","1539368592","2018","10"
"39546","13691","diivy_1.jpg","public://news/2018/diivy_1.jpg","image/jpeg","","","1539368592","2018","10"
"39546","13692","rift_1.jpg","public://news/2018/rift_1.jpg","image/jpeg","","","1539368592","2018","10"
"39546","13693","spotlight_1.jpg","public://news/2018/spotlight_1.jpg","image/jpeg","","","1539368592","2018","10"
"39546","13694","tina_1.jpg","public://news/2018/tina_1.jpg","image/jpeg","","","1539368592","2018","10"
"39548","13697","4y4a9846_1.jpg","public://news/2018/4y4a9846_1.jpg","image/jpeg","","","1539368592","2018","10"
"39548","13698","group_0_1.jpg","public://news/2018/group_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39548","13699","bentree_1.jpg","public://news/2018/bentree_1.jpg","image/jpeg","","","1539368592","2018","10"
"39553","13705","beyah_1_2.jpg","public://news/2018/beyah_1_2.jpg","image/jpeg","","","1539368592","2018","10"
"39553","13704","shutterstock_317089577_2_0_2.jpg","public://news/2018/shutterstock_317089577_2_0_2.jpg","image/jpeg","","","1539368592","2018","10"
"11733","2863","41681903170_46b8b54c6e_k.jpg","public://news/2018/41681903170_46b8b54c6e_k.jpg","image/jpeg","","","1536596193","2018","09"
"11733","2864","41681903320_0dd248a413_k.jpg","public://news/2018/41681903320_0dd248a413_k.jpg","image/jpeg","","","1536596193","2018","09"
"11733","2865","41681903620_ae45607ac3_k.jpg","public://news/2018/41681903620_ae45607ac3_k.jpg","image/jpeg","","","1536596193","2018","09"
"11733","2866","41681903690_7a7e3d4783_k.jpg","public://news/2018/41681903690_7a7e3d4783_k.jpg","image/jpeg","","","1536596193","2018","09"
"39559","13712","gatechstudentsjuly2018-1_0_2.jpg","public://news/2018/gatechstudentsjuly2018-1_0_2.jpg","image/jpeg","","","1539368592","2018","10"
"39559","13713","shepherd_and_kirth_crop_2.jpg","public://news/2018/shepherd_and_kirth_crop_2.jpg","image/jpeg","","","1539368592","2018","10"
"39559","13714","mba-landingpage_icon4_002_1_2.png","public://news/2018/mba-landingpage_icon4_002_1_2.png","image/png","","","1539368592","2018","10"
"39585","13742","brad_1.jpg","public://news/2018/brad_1.jpg","image/jpeg","","","1539368592","2018","10"
"39593","13751","ae_0_2.jpg","public://news/2018/ae_0_2.jpg","image/jpeg","","","1539368592","2018","10"
"39596","13755","group_shot_2_2.jpg","public://news/2018/group_shot_2_2.jpg","image/jpeg","","","1539368592","2018","10"
"39599","13759","low_angle_1.jpg","public://news/2018/low_angle_1.jpg","image/jpeg","","","1539368592","2018","10"
"39608","13774","magnuschair_1.jpg","public://news/2018/magnuschair_1.jpg","image/jpeg","","","1539368592","2018","10"
"39612","13778","180421dr_gm_program423-dev_1.jpg","public://news/2018/180421dr_gm_program423-dev_1.jpg","image/jpeg","","","1539368592","2018","10"
"39612","13779","180421dr_gm_program224-dev_1.jpg","public://news/2018/180421dr_gm_program224-dev_1.jpg","image/jpeg","","","1539368592","2018","10"
"39617","13785","img_9509_cropped_0_1.jpg","public://news/2018/img_9509_cropped_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39619","13791","n18c19514-p1-070_0_1.jpg","public://news/2018/n18c19514-p1-070_0_1.jpg","image/jpeg","","","1539368592","2018","10"
"39618","13787","39875889120_6689b05c4c_k_1.jpg","public://news/2018/39875889120_6689b05c4c_k_1.jpg","image/jpeg","","","1539368592","2018","10"
