"csv_fid","csv_nid","csv_filename","csv_path","csv_mime","csv_title","csv_date","csv_date_y","csv_date_m"
"18793","43121","valerie_thomas_square_0_0.jpeg","public://news/featured/valerie_thomas_square_0_0.jpeg","image/jpeg","","1629293788","2021","08"
"18767","43117","dean_beyah_and_president_cabrera002.jpg","public://news/featured/dean_beyah_and_president_cabrera002.jpg","image/jpeg","","1628693021","2021","08"
"18773","43118","klempay-roy_header1.jpg","public://news/featured/klempay-roy_header1.jpg","image/jpeg","","1628779442","2021","08"
"18753","43115","chbe-new-chair-1.jpg","public://news/featured/chbe-new-chair-1.jpg","image/jpeg","","1628120553","2021","08"
"18748","43114","pascal_ai4opt_alt.jpg","public://news/featured/pascal_ai4opt_alt.jpg","image/jpeg","","1627923403","2021","08"
"18742","43110","i-xblxp2l.jpg","public://news/featured/i-xblxp2l.jpg","image/jpeg","","1627323333","2021","07"
"18716","43090","pia23131-1440x900.jpg","public://news/featured/pia23131-1440x900.jpg","image/jpeg","","1626367403","2021","07"
"18706","43093","golfhero3.jpg","public://news/featured/golfhero3.jpg","image/jpeg","","1626194372","2021","07"
"18693","43086","slothbot_wire.jpg","public://news/featured/slothbot_wire.jpg","image/jpeg","","1625161228","2021","07"
"18670","43081","garcia2.jpg","public://news/featured/garcia2.jpg","image/jpeg","","1624480822","2021","06"
"18664","43068","cancer-hero-final.png","public://news/featured/cancer-hero-final.png","image/png","","1624456042","2021","06"
"18627","43066","gtri-fellowships_hero1.jpg","public://news/featured/gtri-fellowships_hero1.jpg","image/jpeg","","1623693062","2021","06"
"18603","43059","elephant_blowing_water.jpg","public://news/featured/elephant_blowing_water.jpg","image/jpeg","","1622582923","2021","06"
"18579","43042","clark-vid-hero_a.jpg","public://news/featured/clark-vid-hero_a.jpg","image/jpeg","","1621342792","2021","05"
"18561","43035","butterflynetwork_hero_e.jpg","public://news/featured/butterflynetwork_hero_e_0.jpg","image/jpeg","","1620752988","2021","05"
"18559","43036","walton_web-feat.png","public://news/featured/walton_web-feat.png","image/png","","1620652720","2021","05"
"18530","43025","biya_hero1.jpg","public://news/featured/biya_hero1.jpg","image/jpeg","","1619550064","2021","04"
"18519","43026","walker-nasa_hero1.jpg","public://news/featured/walker-nasa_hero1_0.jpg","image/jpeg","","1619098387","2021","04"
"18494","43021","reframe-header2.jpg","public://news/featured/reframe-header2.jpg","image/jpeg","","1618588812","2021","04"
"18487","43019","paulino-feat1.jpg","public://news/featured/paulino-feat1.jpg","image/jpeg","","1618587025","2021","04"
